order_item_id,order_id,product_id,quantity,price
1,1001,112,2,50082.65
2,1001,117,2,1109.75
3,1001,119,2,877.17
4,1002,103,1,2360.79
5,1003,118,1,427.68
6,1003,112,1,28104.98
7,1003,103,3,2347.43
8,1003,113,2,2462.87
9,1004,116,3,1078.45
10,1004,101,3,1252.82
11,1005,110,1,4152.79
12,1005,114,1,1426.15
13,1005,104,2,701.91
14,1006,118,2,766.71
15,1007,120,1,683.2
16,1007,114,1,1940.52
17,1007,109,1,51543.84
18,1008,112,2,12603.8
19,1008,102,1,2867.43
20,1008,113,2,639.19
21,1009,111,1,59346.02
22,1010,108,1,47635.66
23,1010,111,3,1665.88
24,1011,106,3,5332.24
25,1011,104,1,438.64
26,1012,109,1,8915.37
27,1013,112,3,36229.46
28,1014,117,2,825.51
29,1014,110,1,5058.29
30,1015,115,1,3627.29
31,1016,119,3,698.51
32,1017,120,2,269.42
33,1018,107,2,5440.46
34,1018,114,2,1554.05
35,1019,111,3,16411.05
36,1020,103,1,1522.88
37,1021,119,3,430.75
38,1021,118,1,581.35
39,1022,102,2,669.36
40,1022,110,3,13945.22
41,1022,119,3,537.53
42,1023,109,3,14730.31
43,1024,109,1,17486.32
44,1024,101,2,2796.0
45,1025,113,1,3041.59
46,1025,103,1,638.57
47,1026,112,2,43713.36
48,1027,105,3,1407.91
49,1027,106,2,4309.69
50,1027,102,2,1978.4
51,1028,114,1,1348.01
52,1029,113,3,502.69
53,1030,110,1,1952.2
54,1030,111,3,26693.32
55,1031,112,2,51913.22
56,1031,103,1,1534.17
57,1032,119,3,648.1
58,1032,113,2,726.14
59,1033,112,1,15734.01
60,1033,103,3,1441.17
61,1033,114,1,1764.34
62,1034,103,3,696.47
63,1034,117,3,353.6
64,1035,105,2,1986.36
65,1036,116,2,942.17
66,1037,111,1,28931.88
67,1037,105,3,2514.1
68,1037,115,2,2488.25
69,1038,102,2,2562.41
70,1039,117,2,759.35
71,1039,113,3,3614.74
72,1040,116,3,308.4
73,1041,103,1,2239.82
74,1041,117,2,700.27
75,1041,106,3,1793.73
76,1041,102,2,2786.64
77,1042,111,2,7028.6
78,1042,103,3,1405.07
79,1043,119,3,299.0
80,1044,103,2,1853.2
81,1045,117,3,853.98
82,1045,103,3,1340.75
83,1046,116,1,387.87
84,1047,118,1,845.03
85,1047,117,3,287.6
86,1048,102,2,2158.54
87,1048,114,1,3887.48
88,1049,108,2,57987.4
89,1050,119,2,523.18
90,1051,106,1,5006.3
91,1052,118,1,449.32
92,1052,104,1,1109.26
93,1052,117,3,304.72
94,1053,112,1,24692.56
95,1053,101,2,1013.02
96,1053,114,1,1687.18
97,1054,105,2,5586.98
98,1054,102,2,2209.79
99,1055,103,2,960.7
100,1055,101,1,1826.89
101,1056,108,1,4293.34
102,1056,110,2,38878.68
103,1057,101,3,1029.04
104,1057,117,1,455.84
105,1058,103,3,2934.1
106,1059,117,1,559.98
107,1059,118,2,195.71
108,1060,103,2,1026.93
109,1061,112,3,21305.01
110,1062,116,3,965.0
111,1062,106,2,1184.92
112,1062,105,1,1219.03
113,1062,103,1,2703.06
114,1063,118,3,350.66
115,1063,116,2,1055.25
116,1063,109,1,52149.2
117,1063,102,2,1110.36
118,1064,113,1,2135.95
119,1064,111,2,22989.8
120,1065,103,3,2987.26
121,1065,114,1,2318.26
122,1066,120,3,498.28
123,1067,112,2,38908.95
124,1067,114,1,577.65
125,1068,105,1,2179.98
126,1068,115,3,1655.42
127,1068,102,2,2868.61
128,1068,120,1,623.57
129,1069,103,3,758.01
130,1070,104,1,2312.75
131,1071,109,3,27606.98
132,1072,105,1,3260.21
133,1073,111,3,33217.02
134,1073,112,2,51304.68
135,1073,103,3,2244.87
136,1074,104,1,1015.51
137,1074,107,2,1131.42
138,1075,103,1,1204.16
139,1076,114,3,572.88
140,1077,117,2,284.75
141,1078,105,3,5553.56
142,1078,114,1,3376.15
143,1079,108,2,56927.76
144,1080,118,2,281.43
145,1081,119,1,319.84
146,1081,120,3,704.44
147,1082,101,3,2404.66
148,1082,103,2,2092.94
149,1082,102,3,1483.13
150,1083,110,2,15825.36
151,1084,102,1,1542.97
152,1085,111,3,59299.37
153,1086,104,1,1612.83
154,1086,111,2,27801.37
155,1087,114,2,3754.88
156,1087,108,3,19793.82
157,1087,106,1,3491.33
158,1088,103,2,1714.16
159,1089,110,2,36454.85
160,1090,104,1,2694.38
161,1090,114,3,1653.38
162,1091,107,3,2443.01
163,1091,112,2,30998.95
164,1092,104,2,1370.32
165,1093,107,2,3500.39
166,1093,117,1,190.86
167,1094,120,3,297.85
168,1095,110,3,32641.88
169,1095,119,3,594.05
170,1095,111,2,49221.31
171,1095,117,2,497.8
172,1096,101,2,2914.38
173,1096,116,3,756.52
174,1097,120,1,775.16
175,1097,113,1,416.81
176,1098,114,1,1827.95
177,1099,102,1,1858.31
178,1099,105,3,3391.85
179,1099,117,2,479.44
180,1100,109,1,57504.24
181,1100,116,2,735.99
182,1101,107,2,3399.02
183,1101,116,3,1130.39
184,1102,118,2,1009.3
185,1102,113,1,1374.67
186,1103,109,1,49935.17
187,1103,116,2,1129.68
188,1103,107,3,2358.11
189,1104,117,1,819.84
190,1105,105,1,5822.59
191,1106,107,2,2605.84
192,1107,108,3,43802.38
193,1107,118,1,1108.89
194,1108,102,1,2835.18
195,1108,113,2,3543.95
196,1108,116,1,463.31
197,1109,118,3,668.61
198,1110,104,2,822.49
199,1111,111,2,34715.2
200,1112,117,2,852.72
201,1112,111,1,58928.58
202,1112,103,2,1241.36
203,1113,109,2,19163.83
204,1114,102,2,1197.7
205,1114,104,2,2183.79
206,1115,110,3,14419.68
207,1115,112,1,29473.64
208,1116,118,2,945.22
209,1117,120,3,512.72
210,1117,103,3,1340.64
211,1118,107,1,1822.69
212,1118,119,3,509.29
213,1118,118,3,365.67
214,1119,102,2,743.06
215,1120,110,2,16385.75
216,1120,101,1,2339.09
217,1121,118,1,1185.44
218,1121,102,2,482.51
219,1122,113,2,3517.6
220,1123,112,1,11940.71
221,1124,101,3,2269.64
222,1124,110,2,32618.12
223,1124,115,1,1215.79
224,1125,114,3,3134.4
225,1126,120,1,512.51
226,1127,113,1,2297.11
227,1127,115,1,818.5
228,1128,111,2,52761.11
229,1128,108,3,31993.19
230,1129,114,2,473.47
231,1129,118,2,1138.67
232,1130,114,2,1692.9
233,1130,105,3,3367.59
234,1131,102,2,1848.95
235,1131,118,1,557.84
236,1131,114,2,1052.35
237,1132,107,1,2342.31
238,1133,119,3,670.02
239,1134,101,1,2836.62
240,1135,120,1,586.46
241,1135,107,2,2903.31
242,1135,113,3,2700.27
243,1136,116,2,1110.05
244,1137,101,3,2830.37
245,1137,109,3,43620.7
246,1138,108,2,33712.59
