order_id,customer_id,order_date,order_status
1001,117,2026-07-07,Delivered
1002,86,2025-04-28,Cancelled
1003,64,2026-02-11,Delivered
1004,211,2025-04-21,Returned
1005,156,2026-04-21,Delivered
1006,66,2026-02-02,Delivered
1007,190,2025-04-12,Returned
1008,35,2026-07-12,Delivered
1009,57,2025-01-22,Delivered
1010,207,2025-08-01,Delivered
1011,220,2025-05-14,Delivered
1012,207,2025-11-28,Delivered
1013,120,2025-03-07,Delivered
1014,124,2025-02-14,Delivered
1015,130,2025-04-21,Delivered
1016,91,2025-05-10,Delivered
1017,110,2025-10-29,Delivered
1018,177,2026-07-19,Cancelled
1019,125,2025-04-08,Delivered
1020,238,2026-05-01,Delivered
1021,195,2025-05-14,Delivered
1022,225,2026-03-10,Returned
1023,215,2026-01-12,Delivered
1024,121,2025-01-27,Delivered
1025,99,2025-05-27,Delivered
1026,141,2026-04-10,Delivered
1027,203,2025-03-28,Delivered
1028,117,2026-06-09,Delivered
1029,170,2025-11-12,Delivered
1030,56,2025-05-21,Returned
1031,42,2025-08-24,Delivered
1032,128,2025-11-17,Delivered
1033,10,2026-04-17,Delivered
1034,90,2025-12-08,Delivered
1035,202,2025-06-01,Delivered
1036,155,2025-03-19,Delivered
1037,200,2025-11-27,Delivered
1038,101,2026-04-18,Delivered
1039,27,2025-04-03,Cancelled
1040,124,2025-07-12,Cancelled
1041,25,2025-12-18,Delivered
1042,111,2025-02-23,Delivered
1043,72,2025-06-03,Cancelled
1044,99,2026-02-06,Pending
1045,165,2025-05-11,Delivered
1046,102,2025-08-08,Delivered
1047,42,2025-04-14,Delivered
1048,106,2025-06-19,Delivered
1049,156,2026-04-05,Delivered
1050,207,2025-07-18,Returned
1051,79,2026-06-25,Delivered
1052,43,2026-05-08,Delivered
1053,122,2025-08-16,Returned
1054,13,2025-12-10,Returned
1055,43,2026-04-05,Delivered
1056,190,2025-04-24,Delivered
1057,158,2026-05-27,Delivered
1058,2,2026-03-03,Delivered
1059,26,2026-06-04,Delivered
1060,111,2025-01-17,Delivered
1061,166,2025-12-07,Delivered
1062,164,2026-04-21,Cancelled
1063,90,2026-02-12,Delivered
1064,208,2026-02-14,Delivered
1065,208,2025-03-26,Delivered
1066,91,2025-10-30,Delivered
1067,173,2025-02-13,Delivered
1068,164,2025-06-13,Delivered
1069,171,2026-01-16,Returned
1070,103,2025-10-13,Delivered
1071,132,2025-05-01,Delivered
1072,249,2026-05-18,Delivered
1073,227,2025-03-31,Delivered
1074,177,2026-01-06,Delivered
1075,143,2026-07-19,Delivered
1076,250,2026-06-23,Delivered
1077,240,2026-04-06,Delivered
1078,214,2025-07-06,Delivered
1079,139,2025-06-15,Delivered
1080,139,2025-03-22,Delivered
1081,87,2026-05-30,Delivered
1082,155,2025-02-12,Cancelled
1083,164,2026-07-13,Delivered
1084,209,2026-04-10,Delivered
1085,131,2025-05-28,Delivered
1086,98,2026-01-15,Delivered
1087,43,2026-01-29,Delivered
1088,137,2025-11-12,Delivered
1089,239,2025-12-28,Delivered
1090,215,2025-10-20,Delivered
1091,115,2025-02-22,Delivered
1092,201,2025-05-02,Delivered
1093,247,2026-01-10,Delivered
1094,179,2026-06-16,Cancelled
1095,231,2026-02-07,Delivered
1096,36,2025-11-12,Delivered
1097,186,2025-06-24,Delivered
1098,234,2025-01-20,Delivered
1099,56,2026-04-28,Delivered
1100,51,2025-12-17,Returned
1101,64,2025-11-01,Pending
1102,208,2025-05-05,Delivered
1103,81,2025-12-21,Delivered
1104,36,2025-09-03,Delivered
1105,24,2026-04-29,Delivered
1106,243,2026-05-03,Delivered
1107,165,2025-04-02,Returned
1108,51,2025-06-30,Returned
1109,155,2025-12-10,Returned
1110,232,2026-04-25,Cancelled
1111,127,2025-07-10,Delivered
1112,199,2026-02-20,Delivered
1113,72,2025-08-30,Delivered
1114,187,2026-01-04,Delivered
1115,230,2025-11-15,Returned
1116,125,2026-01-18,Pending
1117,208,2025-09-11,Cancelled
1118,230,2026-07-15,Delivered
1119,150,2026-06-07,Delivered
1120,117,2026-04-19,Delivered
1121,147,2025-12-19,Delivered
1122,116,2026-03-07,Delivered
1123,228,2026-07-07,Delivered
1124,141,2025-08-17,Delivered
1125,99,2025-04-26,Delivered
1126,226,2025-07-31,Delivered
1127,168,2025-09-08,Cancelled
1128,249,2025-11-23,Delivered
1129,117,2025-06-29,Delivered
1130,168,2025-11-23,Cancelled
1131,215,2025-05-28,Delivered
1132,166,2026-01-15,Returned
1133,169,2025-03-16,Delivered
1134,61,2025-12-07,Delivered
1135,239,2026-05-06,Delivered
1136,90,2026-05-25,Delivered
1137,104,2025-08-15,Delivered
1138,86,2025-08-24,Delivered
1139,233,2026-05-16,Delivered
1140,214,2025-02-19,Delivered
1141,62,2025-03-03,Delivered
1142,117,2025-10-09,Delivered
1143,232,2025-04-09,Delivered
1144,114,2026-02-20,Delivered
1145,172,2025-02-02,Cancelled
1146,24,2025-06-25,Delivered
1147,145,2025-04-08,Cancelled
1148,79,2025-02-03,Delivered
1149,150,2026-02-12,Delivered
1150,199,2025-03-22,Delivered
1151,202,2026-02-11,Pending
1152,29,2025-09-10,Delivered
1153,111,2025-04-04,Delivered
1154,75,2025-07-11,Delivered
1155,36,2025-04-06,Delivered
1156,189,2025-09-06,Delivered
1157,45,2025-10-10,Delivered
1158,234,2026-05-23,Delivered
1159,96,2025-12-04,Delivered
1160,42,2025-07-25,Delivered
1161,86,2026-05-18,Delivered
1162,190,2025-08-03,Returned
1163,215,2026-05-27,Cancelled
1164,46,2026-01-22,Delivered
1165,141,2026-03-05,Returned
1166,72,2025-06-20,Delivered
1167,96,2025-04-19,Cancelled
1168,139,2025-08-15,Delivered
1169,150,2025-12-20,Delivered
1170,99,2026-04-09,Delivered
1171,37,2025-04-22,Cancelled
1172,121,2026-02-19,Delivered
1173,124,2025-01-05,Delivered
1174,208,2026-01-10,Delivered
1175,222,2025-11-17,Delivered
1176,156,2025-11-01,Cancelled
1177,135,2025-05-22,Delivered
1178,231,2025-06-20,Delivered
1179,124,2026-01-03,Delivered
1180,28,2025-08-14,Delivered
1181,48,2026-05-23,Delivered
1182,103,2025-02-12,Cancelled
1183,166,2025-02-03,Delivered
1184,249,2025-08-31,Delivered
1185,178,2025-06-19,Delivered
1186,141,2025-10-27,Delivered
1187,171,2026-02-26,Delivered
1188,43,2026-03-01,Delivered
1189,202,2025-10-12,Delivered
1190,215,2026-04-15,Delivered
1191,132,2025-10-18,Delivered
1192,131,2025-02-19,Delivered
1193,220,2025-01-01,Delivered
1194,166,2025-11-09,Delivered
1195,130,2025-08-20,Delivered
1196,120,2025-03-14,Delivered
1197,36,2025-11-03,Delivered
1198,45,2025-01-09,Delivered
1199,230,2026-03-30,Delivered
1200,43,2025-03-28,Delivered
1201,80,2025-01-28,Returned
1202,227,2026-05-22,Pending
1203,26,2025-01-13,Returned
1204,59,2026-02-12,Returned
1205,141,2025-03-27,Delivered
1206,46,2025-03-09,Delivered
1207,71,2026-03-21,Delivered
1208,168,2025-06-29,Delivered
1209,132,2026-06-14,Delivered
1210,38,2025-12-10,Returned
1211,101,2025-06-20,Delivered
1212,169,2026-06-06,Delivered
1213,103,2025-07-03,Returned
1214,27,2026-05-30,Delivered
1215,26,2025-10-17,Delivered
1216,86,2025-09-06,Cancelled
1217,202,2026-07-14,Delivered
1218,99,2025-01-10,Cancelled
1219,33,2026-06-17,Returned
1220,29,2025-05-17,Delivered
1221,42,2025-11-19,Delivered
1222,150,2025-06-18,Delivered
1223,101,2026-04-08,Delivered
1224,209,2025-02-11,Delivered
1225,72,2026-06-10,Delivered
1226,51,2026-04-09,Pending
1227,25,2025-08-16,Cancelled
1228,232,2025-09-23,Delivered
1229,214,2025-02-13,Delivered
1230,58,2025-10-14,Delivered
1231,156,2026-05-26,Delivered
1232,79,2025-07-24,Delivered
1233,249,2026-01-03,Cancelled
1234,134,2025-07-04,Delivered
1235,210,2026-04-29,Delivered
1236,141,2025-02-27,Cancelled
1237,152,2026-01-03,Cancelled
1238,32,2025-08-13,Delivered
1239,156,2025-12-15,Cancelled
1240,202,2026-01-09,Cancelled
1241,51,2026-01-01,Pending
1242,193,2025-07-01,Delivered
1243,210,2025-04-17,Delivered
1244,168,2025-12-10,Delivered
1245,26,2025-04-21,Delivered
1246,132,2026-07-14,Delivered
1247,173,2025-03-17,Delivered
1248,50,2025-03-18,Delivered
1249,121,2026-03-21,Delivered
1250,54,2026-07-08,Delivered
1251,20,2026-05-18,Delivered
1252,86,2026-05-07,Delivered
1253,86,2025-04-29,Delivered
1254,167,2026-07-12,Delivered
1255,124,2026-04-22,Delivered
1256,197,2025-03-29,Delivered
1257,210,2026-07-03,Delivered
1258,219,2026-06-14,Delivered
1259,120,2026-03-22,Pending
1260,229,2025-03-10,Returned
1261,220,2025-01-13,Delivered
1262,45,2025-04-13,Delivered
1263,155,2025-10-10,Delivered
1264,115,2025-12-06,Delivered
1265,207,2026-05-19,Delivered
1266,117,2025-07-12,Delivered
1267,138,2025-02-27,Delivered
1268,217,2025-01-30,Cancelled
1269,126,2025-07-23,Returned
1270,230,2025-09-05,Delivered
1271,223,2025-12-25,Delivered
1272,32,2025-02-20,Delivered
1273,166,2025-10-03,Delivered
1274,155,2025-09-16,Delivered
1275,62,2026-06-18,Delivered
1276,152,2025-04-21,Delivered
1277,222,2025-11-02,Delivered
1278,208,2026-02-18,Cancelled
1279,118,2025-02-06,Delivered
1280,164,2026-01-03,Delivered
1281,73,2025-07-07,Cancelled
1282,150,2025-05-01,Delivered
1283,26,2026-05-28,Returned
1284,24,2025-05-21,Cancelled
1285,24,2025-08-03,Delivered
1286,121,2026-03-16,Delivered
1287,193,2025-12-19,Delivered
1288,89,2025-02-16,Delivered
1289,152,2025-05-18,Delivered
1290,48,2026-02-18,Returned
1291,57,2026-06-01,Delivered
1292,15,2025-09-19,Cancelled
1293,214,2025-04-29,Delivered
1294,130,2025-01-10,Delivered
1295,158,2026-03-05,Delivered
1296,75,2025-07-26,Delivered
1297,142,2026-05-08,Returned
1298,228,2026-05-21,Cancelled
1299,187,2025-08-25,Returned
1300,35,2025-02-10,Delivered
1301,50,2026-03-25,Delivered
1302,208,2025-06-20,Delivered
1303,229,2026-03-25,Delivered
1304,222,2025-05-14,Cancelled
1305,123,2025-11-18,Delivered
1306,145,2025-12-13,Pending
1307,168,2025-06-02,Delivered
1308,27,2025-09-04,Delivered
1309,143,2025-08-29,Delivered
1310,220,2025-05-02,Delivered
1311,135,2026-04-13,Delivered
1312,35,2025-01-03,Delivered
1313,177,2025-06-18,Delivered
1314,55,2026-02-07,Delivered
1315,199,2025-05-07,Delivered
1316,132,2025-02-19,Delivered
1317,51,2025-04-17,Cancelled
1318,135,2025-09-12,Delivered
1319,42,2026-06-09,Delivered
1320,231,2025-07-25,Delivered
1321,169,2025-07-02,Pending
1322,168,2026-07-01,Delivered
1323,10,2025-02-27,Delivered
1324,45,2025-10-30,Delivered
1325,124,2025-08-18,Delivered
1326,168,2026-02-01,Returned
1327,195,2026-03-30,Delivered
1328,245,2025-06-27,Delivered
1329,47,2025-01-06,Cancelled
